requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
512,512,0,363466,60213,154271,spdk-t8-affine
512,512,1,338019,74928,180107,spdk-t8-affine
512,512,2,349487,77172,191224,spdk-t8-affine
512,512,3,347940,95688,209556,spdk-t8-affine
512,512,4,346561,83546,198374,spdk-t8-affine
512,512,5,360947,95757,214541,spdk-t8-affine
512,512,6,344358,97551,210406,spdk-t8-affine
512,512,7,344894,100109,213190,spdk-t8-affine
512,512,8,342743,98436,208635,spdk-t8-affine
512,512,9,344004,96647,212002,spdk-t8-affine
512,512,10,341663,94625,209521,spdk-t8-affine
512,512,11,339871,98200,206912,spdk-t8-affine
512,512,12,339881,97434,212330,spdk-t8-affine
512,512,13,343090,95613,211345,spdk-t8-affine
512,512,14,340557,97275,210092,spdk-t8-affine
512,512,15,340211,99579,212484,spdk-t8-affine
512,512,16,342896,98227,212810,spdk-t8-affine
512,512,17,346226,98879,213802,spdk-t8-affine
512,512,18,339518,96215,208840,spdk-t8-affine
512,512,19,343656,97365,213405,spdk-t8-affine
512,512,20,352393,102264,219402,spdk-t8-affine
512,512,21,343952,99437,212728,spdk-t8-affine
512,512,22,350012,100253,216622,spdk-t8-affine
512,512,23,344552,98603,213778,spdk-t8-affine
512,512,24,348232,98242,215009,spdk-t8-affine
512,512,25,348107,99190,215872,spdk-t8-affine
512,512,26,356527,103342,220333,spdk-t8-affine
512,512,27,351498,101738,217420,spdk-t8-affine
512,512,28,349913,98477,212879,spdk-t8-affine
512,512,29,349055,103060,219701,spdk-t8-affine
