requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
4096,512,0,2153794,211623,232867,spdk-t8-affine
4096,512,1,2139370,210638,232845,spdk-t8-affine
4096,512,2,2072248,217117,265202,spdk-t8-affine
4096,512,3,2163296,215467,234641,spdk-t8-affine
4096,512,4,2189670,218817,237790,spdk-t8-affine
4096,512,5,2181856,216137,240358,spdk-t8-affine
4096,512,6,2147318,217582,237418,spdk-t8-affine
4096,512,7,2144353,217511,242570,spdk-t8-affine
4096,512,8,2156585,220292,237004,spdk-t8-affine
4096,512,9,2164330,219133,242488,spdk-t8-affine
