harness,num_service_units,N_or_iodepth,qdepth,threads,T_model_ns,measured_e2e_ns,measured_MIOPS,abs_err,rel_err
nvmevirt,0,1,1,1,38000,36000,0.0278,-2000,-0.052632
nvmevirt,0,4,4,1,38000,40000,0.1000,2000,0.052632
nvmevirt,0,8,8,1,38000,45000,0.1778,7000,0.184211
nvmevirt,0,64,64,1,38000,116000,0.5517,78000,2.052632
nvmevirt,0,512,512,1,38000,557000,0.9192,519000,13.657895
nvmevirt,0,4096,4096,1,304000,4240000,0.9660,3936000,12.947368
swarmio,8,1,1,1,38000,50415,0.0198,12415,0.326711
swarmio,8,2,2,1,38000,50009,0.0400,12009,0.316026
swarmio,8,4,4,1,38000,57955,0.0690,19955,0.525132
swarmio,8,8,8,1,38000,65816,0.1216,27816,0.732000
swarmio,8,16,16,1,38000,83850,0.1908,45850,1.206579
swarmio,8,32,32,1,38000,100143,0.3195,62143,1.635342
swarmio,8,64,64,1,38000,155881,0.4106,117881,3.102132
swarmio,8,128,128,1,38000,288297,0.4440,250297,6.586763
swarmio,8,256,256,1,38000,544168,0.4704,506168,13.320211
swarmio,8,512,512,1,38000,1114869,0.4592,1076869,28.338658
swarmio,8,1024,1024,1,76000,2546474,0.4021,2470474,32.506237
swarmio,8,2048,2048,1,152000,5302138,0.3863,5150138,33.882487
swarmio,8,4096,4096,1,304000,10551724,0.3882,10247724,33.709618
swarmio_fio,1,32,32,1,38000,81550,0.3810,43550,1.146053
swarmio_fio,1,64,32,2,38000,80460,0.7710,42460,1.117368
swarmio_fio,1,128,32,4,38000,83950,1.4780,45950,1.209211
swarmio_fio,1,256,32,8,38000,83710,2.9650,45710,1.202895
swarmio_fio,2,32,32,1,38000,83330,0.3720,45330,1.192895
swarmio_fio,2,64,32,2,38000,87240,0.7110,49240,1.295789
swarmio_fio,2,128,32,4,38000,88600,1.4000,50600,1.331579
swarmio_fio,2,256,32,8,38000,91400,2.7150,53400,1.405263
swarmio_fio,4,32,32,1,38000,88870,0.3490,50870,1.338684
swarmio_fio,4,64,32,2,38000,92650,0.6700,54650,1.438158
swarmio_fio,4,128,32,4,38000,94880,1.3080,56880,1.496842
swarmio_fio,4,256,32,8,38000,101900,2.4350,63900,1.681579
swarmio_fio,8,32,32,1,38000,101990,0.3040,63990,1.683947
swarmio_fio,8,64,32,2,38000,102190,0.6070,64190,1.689211
swarmio_fio,8,128,32,4,38000,104790,1.1840,66790,1.757632
swarmio_fio,8,256,32,8,38000,112550,2.2050,74550,1.961842
