requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
8,8,0,214956,31778,32917,spdk-t8-affine
8,8,1,425188,31683,31996,spdk-t8-affine
8,8,2,169958,31456,32157,spdk-t8-affine
8,8,3,184780,31311,31612,spdk-t8-affine
8,8,4,154432,31440,32360,spdk-t8-affine
8,8,5,125720,31296,32130,spdk-t8-affine
8,8,6,127482,31314,32346,spdk-t8-affine
8,8,7,126611,31252,31771,spdk-t8-affine
8,8,8,124606,31265,31729,spdk-t8-affine
8,8,9,128847,31402,31676,spdk-t8-affine
8,8,10,124149,31354,31437,spdk-t8-affine
8,8,11,124435,31239,32281,spdk-t8-affine
8,8,12,124445,31452,31577,spdk-t8-affine
8,8,13,126222,31227,31791,spdk-t8-affine
8,8,14,124946,31263,31619,spdk-t8-affine
8,8,15,124620,31177,31472,spdk-t8-affine
8,8,16,126770,31260,31909,spdk-t8-affine
8,8,17,129405,31322,31674,spdk-t8-affine
8,8,18,125578,31286,31990,spdk-t8-affine
8,8,19,131701,31368,32036,spdk-t8-affine
8,8,20,124296,31260,31445,spdk-t8-affine
8,8,21,126700,31287,32290,spdk-t8-affine
8,8,22,126766,31352,31801,spdk-t8-affine
8,8,23,124687,31213,31759,spdk-t8-affine
8,8,24,125590,31273,31364,spdk-t8-affine
8,8,25,129724,31262,31420,spdk-t8-affine
8,8,26,124954,31292,31775,spdk-t8-affine
8,8,27,122922,31318,31814,spdk-t8-affine
8,8,28,126434,31244,31724,spdk-t8-affine
8,8,29,126935,31316,31639,spdk-t8-affine
