harness,num_service_units,N_or_iodepth,qdepth,threads,T_model_ns,measured_e2e_ns,measured_MIOPS,abs_err,rel_err,reqsize_bytes,num_requests
swarmio,8,512,512,1,38000,1113193,0.4599,1075193,28.294553,4096,512
swarmio,8,512,256,1,38000,761642,0.6722,723642,19.043211,8192,256
swarmio,8,512,128,1,38000,587086,0.8721,549086,14.449632,16384,128
swarmio,8,512,64,1,38000,489668,1.0456,451668,11.886000,32768,64
swarmio,8,512,32,1,38000,397213,1.2890,359213,9.452974,65536,32
swarmio,8,512,16,1,38000,455894,1.1231,417894,10.997211,131072,16
swarmio,8,512,16,1,38000,452463,1.1316,414463,10.906921,131072,16
swarmio,8,1024,32,1,76000,955963,1.0712,879963,11.578461,131072,32
swarmio,8,2048,64,1,152000,2037471,1.0052,1885471,12.404414,131072,64
swarmio,8,4096,128,1,304000,4570281,0.8962,4266281,14.033819,131072,128
swarmio,8,8192,256,1,608000,9820813,0.8341,9212813,15.152653,131072,256
