harness,num_service_units,N_or_iodepth,qdepth,threads,T_model_ns,measured_e2e_ns,measured_MIOPS,abs_err,rel_err,reqsize_bytes,num_requests
swarmio,8,512,512,1,0,1113193,0.4599,0,0.0,4096,512
swarmio,8,512,256,1,0,761642,0.6722,0,0.0,8192,256
swarmio,8,512,128,1,0,587086,0.8721,0,0.0,16384,128
swarmio,8,512,64,1,0,489668,1.0456,0,0.0,32768,64
swarmio,8,512,32,1,0,397213,1.2890,0,0.0,65536,32
swarmio,8,512,16,1,0,455894,1.1231,0,0.0,131072,16
swarmio,8,512,16,1,0,452463,1.1316,0,0.0,131072,16
swarmio,8,1024,32,1,0,955963,1.0712,0,0.0,131072,32
swarmio,8,2048,64,1,0,2037471,1.0052,0,0.0,131072,64
swarmio,8,4096,128,1,0,4570281,0.8962,0,0.0,131072,128
swarmio,8,8192,256,1,0,9820813,0.8341,0,0.0,131072,256
